Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.1912852493277626,0.006304498665145112,2.199673795676043,0.000506531946591375,2.1978937752520324,0.00063889130236534
0.0,0.18,4.306182592297156,0.011221111397373383,4.320019187159547,0.0009638286532105717,4.317692735753138,0.00063889130236534
0.0,0.3,6.956001335214522,0.01691032546222181,6.9805008751387465,0.0015392383253142528,6.977856395078936,0.0
0.0,0.42,9.329852267698158,0.02263021314917167,9.355567481851512,0.002079128862681595,9.35198445107548,0.0006716421967541273
0.0,0.495,10.584244477824772,0.02587173223210125,10.607523871786977,0.0023876694596786257,10.60269117116596,0.0006716421967541273
0.0,0.57,11.527012891716074,0.02887882314641092,11.563212176776718,0.0026895708159920184,11.557226580893353,0.0
0.0,0.625,11.919675379869453,0.031169704600086074,11.959666884502619,0.002923614158056713,11.953471073776921,0.0009804298370810864
0.0,0.68,11.857945922033005,0.033687205109714194,11.925420046404351,0.0031841819729812185,11.919202346449177,0.0009804298370810864
0.0,0.72,11.390321775963967,0.03573279198129787,11.473180839680099,0.003399899633909677,11.466408855551299,0.0
0.0,0.76,10.41154938059579,0.037777648552184406,10.4985203561791,0.0036523482657159906,10.492487525912582,0.001142946216087535
0.0,0.81,8.496394597826423,0.040773539777038854,8.529381543812866,0.003999805684846293,8.523903636373381,0.001142946216087535
0.0,0.86,6.382988463969124,0.043035280574136074,6.3674333374866325,0.00423225005273396,6.360824724052465,0.0
0.0,0.93,4.284655348611121,0.04450342797862431,4.250189911257603,0.0043790099795739425,4.243540620702845,0.0008271707987734093
0.0,1.0,3.577711941787975,0.044959549726549954,3.5668002106831658,0.004452241444254001,3.560836263198576,0.0008271707987734093
0.09,0.0,-2.1912852493277626,0.006304498665145112,-2.199673795676043,0.0005065319465913716,-2.1978937752520324,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009587794658423332
0.09,0.18,2.1148973429693934,0.006712068769767162,2.1203453914835038,0.0005238749946624967,2.119798960501105,0.0009587794658423332
0.09,0.3,4.764716085886759,0.014321230164203355,4.7808270794627035,0.0012230931506591236,4.779962619826904,0.0
0.09,0.42,7.138567018370394,0.02076692257785836,7.155893686175469,0.0018509465276122861,7.154090675823449,0.0008138105944867146
0.09,0.495,8.39295922849701,0.02425871090695809,8.407850076110934,0.002192118018542591,8.404797395913928,0.0008138105944867146
0.09,0.57,9.33572764238831,0.027443122134689774,9.363538381100675,0.0025176423870689954,9.359332805641321,0.0
0.09,0.625,9.72839013054169,0.029844413397392282,9.759993088826576,0.0027662674237249993,9.755577298524889,0.0009647912784429887
0.09,0.68,9.666660672705241,0.03246484736267483,9.725746250728308,0.003040349133997731,9.721308571197145,0.0009647912784429887
0.09,0.72,9.199036526636203,0.03458281291272481,9.273507044004056,0.0032655820104251234,9.268515080299268,0.0
0.09,0.76,8.220264131268028,0.036691814568240985,8.298846560503057,0.003527655929529533,8.294593750660551,0.0008306018763782109
0.09,0.81,6.305109348498659,0.03976958727630437,6.329707748136823,0.003886277653024366,6.326009861121351,0.0008306018763782109
0.09,0.86,4.19170321464136,0.042085316920185294,4.1677595418105895,0.004125124117968684,4.162930948800435,0.0
0.09,0.93,2.0933700992833573,0.04358547496616759,2.0505161155815603,0.004275562756121857,2.0456468454508143,0.000962947308578601
0.09,1.0,1.3864266924602116,0.04405110257180788,1.3671264150071227,0.004350535870240437,1.3629424879465455,0.000962947308578601
0.18,0.0,-4.306182592297156,0.011221111397373383,-4.320019187159547,0.0009638286532105691,-4.317692735753138,0.0
0.18,0.09,-2.1148973429693934,0.006712068769767162,-2.1203453914835038,0.0005238749946624951,-2.119798960501105,0.0012591541395626659
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0012591541395626659
0.18,0.3,2.649818742917365,0.00973278725050528,2.6604816879791997,0.0008012812572981211,2.6601636593257982,0.0
0.18,0.42,5.023669675401001,0.01791353085246662,5.035548294691965,0.0015514471265520538,5.034291715322343,0.0009185188138673362
0.18,0.495,6.278061885527615,0.021865831086763602,6.2875046846274305,0.0019441168051833734,6.284998435412821,0.0009185188138673362
0.18,0.57,7.2208302994189175,0.025352602760801698,7.243192989617171,0.0023052097398987012,7.239533845140215,0.0
0.18,0.625,7.613492787572296,0.027934182022782732,7.639647697343072,0.0025744705892653146,7.635778338023783,0.0007262528086238577
0.18,0.68,7.551763329735849,0.030718004956853645,7.605400859244805,0.002866943913933268,7.60150961069604,0.0007262528086238577
0.18,0.72,7.08413918366681,0.03294845160556162,7.153161652520552,0.0031047811197912954,7.148716119798161,0.0
0.18,0.76,6.1053667882986336,0.0351556363981324,6.178501169019553,0.003379348567411135,6.174794790159445,0.00041883531730350736
0.18,0.81,4.190212005529266,0.0383568714362251,4.209362356653319,0.00375217196549389,4.206210900620245,0.00041883531730350736
0.18,0.86,2.076805871671967,0.04075295589917306,2.0474141503270857,0.003999036062917293,2.043131988299329,0.0
0.18,0.93,-0.02152724368603609,0.042300391750832896,-0.06982927590194343,0.004154043491132092,-0.07415211505029173,
0.18,1.0,-0.7284706505091818,0.04278000878961397,-0.753218976476381,0.004231170382221884,-0.7568564725545606,
0.3,0.0,-6.956001335214522,0.01691032546222181,-6.9805008751387465,0.0015392383253142517,-6.977856395078936,
0.3,0.09,-4.764716085886759,0.014321230164203355,-4.7808270794627035,0.0012230931506591225,-4.779962619826904,
0.3,0.18,-2.649818742917365,0.00973278725050528,-2.6604816879791997,0.0008012812572981211,-2.6601636593257982,
0.3,0.3,0.0,0.0,0.0,0.0,0.0,
0.3,0.42,2.373850932483636,0.011126753167689456,2.3750666067127657,0.0009266753703853794,2.3741280559965454,
0.3,0.495,3.62824314261025,0.01676378887863038,3.627022996648231,0.001442985779330422,3.624834776087024,
0.3,0.57,4.571011556501553,0.02111076775485496,4.582711301637971,0.0018980632731408265,4.579370185814418,
0.3,0.625,4.9636740446549314,0.024150125749866646,4.9791660093638725,0.0022178296607122277,4.975614678697987,
0.3,0.68,4.901944586818485,0.027322259734174605,4.944919171265605,0.0025515985043659184,4.941345951370243,
0.3,0.72,4.434320440749445,0.029807893445469275,4.492679964541352,0.0028161864309138884,4.488552460472365,
0.3,0.76,3.455548045381269,0.03223086748770665,3.518019481040353,0.003116284442813795,3.5146311308336475,
0.3,0.81,1.5403932626119012,0.03569537273691808,1.5488806686741192,0.0035171051242805468,1.5460472412944468,
0.3,0.86,-0.5730128712453979,0.03825850837359395,-0.613067537652114,0.0037793548834549762,-0.6170316710264689,
0.3,0.93,-2.6713459866034004,0.039902796778250336,-2.730310963881143,0.003943007886879495,-2.7343157743760895,
0.3,1.0,-3.378289393426546,0.040410879729249435,-3.4137006644555807,0.004024181491499696,-3.417020131880358,
