Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.1956420148366615,0.006060020031568584,2.20444994544688,0.0004883604033104897,2.2029341368548874,0.0006154780504208994
0.0,0.18,4.308902944120133,0.010790206290106871,4.3300488274613205,0.0009298116359856308,4.327833012702088,0.0006154780504208994
0.0,0.3,6.949621448794529,0.016283603764086926,6.998154054547079,0.00148767844710127,6.995652993382113,0.0
0.0,0.42,9.308613835252983,0.022152743451545904,9.379582958921366,0.0020148437019542062,9.376853651835168,0.0006476739873068557
0.0,0.495,10.55258756535942,0.025404897969307665,10.634995086734026,0.0023169581276075327,10.631775693551594,0.0006476739873068557
0.0,0.57,11.48856874205266,0.028422740961803614,11.593659036205114,0.0026133015026820333,11.589799283664654,0.0
0.0,0.625,11.876622344935138,0.03077308352402726,11.99264675591517,0.0028431979047665802,11.987275359783595,0.0009495848796558121
0.0,0.68,11.83127293537802,0.03321872012689021,11.961436017041791,0.003099579375786606,11.955532296599314,0.0009495848796558121
0.0,0.72,11.369862692375767,0.035227390679969564,11.511197288254916,0.003312319890779897,11.505836459606066,0.0
0.0,0.76,10.38271093957068,0.037366763087041815,10.536041959099965,0.0035619875457957814,10.530279508492217,0.0011109460297415957
0.0,0.81,8.463986605405506,0.040485741372055226,8.563909632625279,0.0039042939318202886,8.556981936977335,0.0011109460297415957
0.0,0.86,6.349097623323281,0.042732766608516895,6.40143218346557,0.0041320282624484365,6.394569711406374,0.0
0.0,0.93,4.255667608343008,0.044184808282003676,4.284659753164446,0.004275897320740325,4.27843997610199,0.0008059403384561242
0.0,1.0,3.558635804000945,0.04463550686185461,3.6016451252802533,0.004347707202458924,3.59601362540971,0.0008059403384561242
0.09,0.0,-2.1956420148366615,0.006060020031568584,-2.20444994544688,0.0004883604033104862,-2.2029341368548874,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009357468863660985
0.09,0.18,2.1132609292834714,0.006417803381521556,2.1255988820144402,0.0005056792376496289,2.1248988758472014,0.0009357468863660985
0.09,0.3,4.753979433957867,0.013780979646113462,4.793704109100199,0.0011833452895634003,4.792718856527227,0.0
0.09,0.42,7.1129718204163215,0.020383907645268057,7.175133013474486,0.0017957684688909693,7.173919514980282,0.0007964517524746135
0.09,0.495,8.356945550522758,0.023878201131821892,8.430545141287146,0.0021294609218276165,8.428841556696709,0.0007964517524746135
0.09,0.57,9.292926727215997,0.027066803509882668,9.389209090758234,0.0024486627674872173,9.386865146809768,0.0
0.09,0.625,9.680980330098473,0.029525282691916187,9.788196810468289,0.002692649875463855,9.78434122292871,0.000943412923477637
0.09,0.68,9.635630920541356,0.0320662285797608,9.75698607159491,0.0029620894808871957,9.752598159744428,0.000943412923477637
0.09,0.72,9.174220677539104,0.034142769404077546,9.306747342808036,0.0031840297043633755,9.302902322751178,0.0
0.09,0.76,8.187068924734017,0.03634604011531268,8.331592013653085,0.003443012855573339,8.327345371637332,0.0008144241142484331
0.09,0.81,6.268344590568843,0.03954560535515612,6.359459687178399,0.0037960628724107615,6.35404780012245,0.0008144241142484331
0.09,0.86,4.153455608486617,0.041843147473377106,4.196982238018689,0.004029918086867878,4.191635574551489,0.0
0.09,0.93,2.060025593506344,0.04332501507649164,2.0802098077175657,0.004177305366288332,2.0755058392471044,0.0009469257444836862
0.09,1.0,1.3629937891642814,0.04378456487479894,1.397195179833373,0.004250781121630237,1.3930794885548243,0.0009469257444836862
0.18,0.0,-4.308902944120133,0.010790206290106871,-4.3300488274613205,0.0009298116359856281,-4.327833012702088,0.0
0.18,0.09,-2.1132609292834714,0.006417803381521556,-2.1255988820144402,0.0005056792376496289,-2.1248988758472014,0.0012337687894495549
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0012337687894495549
0.18,0.3,2.6407185046743957,0.009499860215847656,2.668105227085759,0.0007766312773067808,2.667819980680025,0.0
0.18,0.42,4.99971089113285,0.017771765106619798,5.049534131460046,0.0015075856583420789,5.049020639133079,0.000898400861038462
0.18,0.495,6.243684621239288,0.021691021953928122,6.304946259272706,0.0018911074967085867,6.303942680849506,0.000898400861038462
0.18,0.57,7.179665797932525,0.025158374278888694,7.263610208743794,0.002244732275681814,7.261966270962566,0.0
0.18,0.625,7.567719400815003,0.0277862243234236,7.662597928453849,0.002508668916142613,7.659442347081508,0.0007116757731501555
0.18,0.68,7.522369991257886,0.030472527946390004,7.631387189580471,0.0027958920890928016,7.6276992838972255,0.0007116757731501555
0.18,0.72,7.060959748255632,0.03265058417079342,7.181148460793596,0.0030300295857595074,7.178003446903976,0.0
0.18,0.76,6.0738079954505455,0.03494805539909152,6.205993131638644,0.0033011167932193008,6.202446495790129,0.00040957216548328417
0.18,0.81,4.155083661285371,0.0382646945240623,4.233860805163959,0.003667850591852339,4.229148924275247,0.00040957216548328417
0.18,0.86,2.0401946792031462,0.04063472572311565,2.071383356004249,0.003909382867208731,2.066736698704286,0.0
0.18,0.93,-0.05323533577712691,0.042159090069548225,-0.045389074296874554,0.004061146973400744,-0.049393036600098306,
0.18,1.0,-0.7502671401191896,0.0426312099920883,-0.7284037021810672,0.004136686446998798,-0.7318193872923785,
0.3,0.0,-6.949621448794529,0.016283603764086926,-6.998154054547079,0.0014876784471012686,-6.995652993382113,
0.3,0.09,-4.753979433957867,0.013780979646113462,-4.793704109100199,0.0011833452895634003,-4.792718856527227,
0.3,0.18,-2.6407185046743957,0.009499860215847656,-2.668105227085759,0.0007766312773067808,-2.667819980680025,
0.3,0.3,0.0,0.0,0.0,0.0,0.0,
0.3,0.42,2.3589923864584543,0.011093545127642428,2.381428904374287,0.0009022392325799563,2.381200658453055,
0.3,0.495,3.6029661165648914,0.01666527953260796,3.636841032186947,0.0014058821754481515,3.636122700169481,
0.3,0.57,4.538947293258131,0.02098034567996481,4.595504981658035,0.0018509121484001781,4.594146290282541,
0.3,0.625,4.927000896140607,0.024068763380069757,4.99449270136809,0.00216392768297095,4.991622366401483,
0.3,0.68,4.881651486583491,0.02712574548169487,4.963281962494712,0.002491299263155173,4.959879303217201,
0.3,0.72,4.420241243581238,0.029551510201480995,4.513043233707837,0.002751471164489854,4.5101834662239515,
0.3,0.76,3.433089490776151,0.032071758365766916,3.5378879045528855,0.003047438031474098,3.534626515110104,
0.3,0.81,1.5143651566109764,0.03565694820808384,1.5657555780781998,0.00344131317198093,1.561328943595223,
0.3,0.86,-0.6005238254712486,0.03818916132997694,-0.5967218710815096,0.0036976726052397953,-0.6010832819757379,
0.3,0.93,-2.6939538404515213,0.03980728556415835,-2.7134943013826334,0.003857774358572096,-2.7172130172801223,
0.3,1.0,-3.3909856447935844,0.04030696185380013,-3.396508929266826,0.0039372176757312815,-3.3996393679724024,
0.42,0.0,-9.308613835252983,0.022152743451545904,-9.379582958921366,0.0020148437019542075,-9.376853651835168,
