Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.227916531855444,0.00579880521598539,2.2473591164026594,0.0004461584444878564,2.245655612827413,0.0005582989547972928
0.0,0.18,4.3864325175233585,0.010492691883180243,4.414998886419696,0.0008576442193134329,4.41305918454786,0.0005582989547972928
0.0,0.3,7.09995625222961,0.015995940569725742,7.1377732046148505,0.0013936432345646376,7.136222532833191,0.0
0.0,0.42,9.504341743661247,0.021888865064664493,9.572222457083475,0.0019196805636900285,9.570256012605178,0.0006010594768321045
0.0,0.495,10.775402471397939,0.025341571700783303,10.859376608388011,0.002230287702633742,10.85643913607227,0.0006010594768321045
0.0,0.57,11.746192453201322,0.028564018980321442,11.847420373364022,0.00254174401475175,11.842666801876163,0.0
0.0,0.625,12.150030679372323,0.031075943369089504,12.264164707024959,0.0027878169198034745,12.258402304455359,0.000903255832289251
0.0,0.68,12.111399558530225,0.03389831713046682,12.246323081648828,0.0030647282062112443,12.239984158183445,0.000903255832289251
0.0,0.72,11.665258207039692,0.03615300416517193,11.805368002290303,0.0032946889808472433,11.798812379290954,0.0
0.0,0.76,10.69330299570786,0.038505794285480434,10.84207788277004,0.0035650866267035617,10.835822466873383,0.0010870939568977612
0.0,0.81,8.797312233887284,0.04193117475960107,8.886096917295934,0.003939201361810595,8.879199113855833,0.0010870939568977612
0.0,0.86,6.71241064735888,0.044635860985809434,6.7330959061563735,0.004190892439418541,6.725609786992138,0.0
0.0,0.93,4.633552275105156,0.04631313430315965,4.619542427253247,0.0043508322857548735,4.612817142346442,0.0008038493692830559
0.0,1.0,3.9345074485730516,0.04684000649016799,3.9355090883495407,0.004430646846488381,3.929387990126827,0.0008038493692830559
0.09,0.0,-2.227916531855444,0.00579880521598539,-2.2473591164026594,0.0004461584444878526,-2.245655612827413,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009497266492063078
0.09,0.18,2.1585159856679144,0.006320390876882414,2.1676397700170362,0.0004713019849462325,2.1674035717204476,0.0009497266492063078
0.09,0.3,4.8720397203741665,0.013627944547561815,4.890414088212191,0.0011194012374012123,4.890566920005778,0.0
0.09,0.42,7.276425211805803,0.020223085118258086,7.324863340680816,0.0017254341357990232,7.324600399777765,0.0008175132920774895
0.09,0.495,8.547485939542495,0.02391748344093005,8.612017491985352,0.002065715489795193,8.610783523244857,0.0008175132920774895
0.09,0.57,9.518275921345877,0.02730849571450953,9.600061256961363,0.002398692106752733,9.59701118904875,0.0
0.09,0.625,9.92211414751688,0.0299259922836333,10.0168055906223,0.0026580384566721156,10.012746691627946,0.0009766735728131495
0.09,0.68,9.883483026674782,0.03284732351591104,9.998963965246169,0.00294716772879299,9.994328545356032,0.0009766735728131495
0.09,0.72,9.437341675184248,0.03516945362168939,9.558008885887643,0.0031856262277691403,9.55315676646354,0.0
0.09,0.76,8.465386463852415,0.037583865573367514,8.59471876636738,0.003464546402295121,8.590166854045968,0.0008442822567620895
0.09,0.81,6.569395702031839,0.041086179849207545,6.638737800893274,0.0038484472797345464,6.633543501028418,0.0008442822567620895
0.09,0.86,4.484494115503435,0.04384302503050772,4.485736789753714,0.004105705607433931,4.479954174164723,0.0
0.09,0.93,2.405635743249711,0.04554950237778373,2.3721833108505876,0.004268838328561136,2.367161529519027,0.0009861838917449466
0.09,1.0,1.7065909167176065,0.04608510568372608,1.6881499719468813,0.00435015753449301,1.6837323772994122,0.0009861838917449466
0.18,0.0,-4.3864325175233585,0.010492691883180243,-4.414998886419696,0.0008576442193134275,-4.41305918454786,0.0
0.18,0.09,-2.1585159856679144,0.006320390876882414,-2.1676397700170362,0.00047130198494622894,-2.1674035717204476,0.0012970660739681902
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0012970660739681902
0.18,0.3,2.713523734706252,0.009377886565661643,2.722774318195155,0.000741881558842005,2.7231633482853304,0.0
0.18,0.42,5.117909226137888,0.01764077820129568,5.1572235706637795,0.0014611116250006038,5.157196828057317,0.0009533190121093388
0.18,0.495,6.3889699538745806,0.021777738587699148,6.444377721968316,0.0018491298209524895,6.443379951524409,0.0009533190121093388
0.18,0.57,7.359759935677962,0.02545540850264208,7.432421486944326,0.0022151663335530066,7.429607617328303,0.0
0.18,0.625,7.7635981618489645,0.028245157071736693,7.849165820605263,0.002493706551141583,7.8453431199075,0.0007582109624134443
0.18,0.68,7.724967041006867,0.03132364196586852,7.831324195229133,0.002799854153727854,7.8269249736355855,0.0007582109624134443
0.18,0.72,7.278825689516333,0.03375076816748262,7.390369115870607,0.0030498518260160482,7.385753194743094,0.0
0.18,0.76,6.306870478184502,0.03625976882557247,6.427078996350344,0.0033401293252806616,6.422763282325523,0.0004365057899631655
0.18,0.81,4.410879716363926,0.03987854132799275,4.471098030876238,0.003736834042943908,4.466139929307973,0.0004365057899631655
0.18,0.86,2.325978129835521,0.04271340220203401,2.318097019736678,0.004001274886595614,2.312550602444277,0.0
0.18,0.93,0.24711975758179694,0.04446325506202534,0.20454354083355142,0.004168496474686218,0.1997579577985813,
0.18,1.0,-0.4519250689503074,0.045011785675833825,-0.4794897980701549,0.004251735264500225,-0.4836711944210338,
0.3,0.0,-7.09995625222961,0.015995940569725742,-7.1377732046148505,0.0013936432345646355,-7.136222532833191,
0.3,0.09,-4.8720397203741665,0.013627944547561815,-4.890414088212191,0.0011194012374012119,-4.890566920005778,
0.3,0.18,-2.713523734706252,0.009377886565661643,-2.722774318195155,0.0007418815588420056,-2.7231633482853304,
0.3,0.3,0.0,0.0,0.0,0.0,0.0,
0.3,0.42,2.4043854914316363,0.011156514688167172,2.4344492524686245,0.0008857415432972557,2.4340334797719865,
0.3,0.495,3.6754462191683284,0.01695702398518506,3.7216034037731607,0.0013910938752194292,3.720216603239078,
0.3,0.57,4.64623620097171,0.021476698686631605,4.709647168749171,0.001846738515155621,4.706444269042972,
0.3,0.625,5.050074427142712,0.02471962100128273,5.126391502410108,0.002173507902928446,5.122179771622169,
0.3,0.68,5.011443306300615,0.028185835280259138,5.108549877033978,0.0025189532384450237,5.103761625350255,
0.3,0.72,4.5653019548100815,0.030860737456113053,4.667594797675452,0.002794189078839065,4.662589846457763,
0.3,0.76,3.593346743478249,0.03358633054866128,3.7043046781551894,0.0031084325519653727,3.6995999340401924,
0.3,0.81,1.6973559816576733,0.03746423391567491,1.748323712681083,0.003531263173099848,1.742976581022642,
0.3,0.86,-0.38754560487073064,0.04046857412996787,-0.404677298458477,0.003809998891587894,-0.4106127458410538,
0.3,0.93,-2.466403977124455,0.04231136744600325,-2.5182307773616035,0.0039852545294956935,-2.5234053904867495,
0.3,1.0,-3.1654488036565596,0.04288742955887167,-3.20226411626531,0.004072240607848419,-3.2068345427063645,
0.42,0.0,-9.504341743661247,0.021888865064664493,-9.572222457083475,0.0019196805636900293,-9.570256012605178,
0.42,0.09,-7.276425211805803,0.020223085118258086,-7.324863340680816,0.0017254341357990247,-7.324600399777765,
0.42,0.18,-5.117909226137888,0.01764077820129568,-5.1572235706637795,0.0014611116250006057,-5.157196828057317,
0.42,0.3,-2.4043854914316363,0.011156514688167172,-2.4344492524686245,0.0008857415432972589,-2.4340334797719865,
0.42,0.42,0.0,0.0,0.0,0.0,0.0,
0.42,0.495,1.271060727736692,0.008320358580838955,1.2871541513045361,0.00064435045990415,1.2861831234670917,
0.42,0.57,2.2418507095400746,0.015586413665624391,2.275197916280547,0.0012767822018059935,2.2724107892709857,
0.42,0.625,2.6456889357110756,0.01981785475087193,2.6919422499414836,0.0017089650791627636,2.688146291850182,
0.42,0.68,2.6070578148689787,0.024002687660457937,2.6741006245653534,0.0021317308304293994,2.6697281455782673,
0.42,0.72,2.1609164633784452,0.027093778267615946,2.2331455452068276,0.002450962416072768,2.228556366685776,
0.42,0.76,1.1889612520466133,0.030161719185144886,1.2698554256865648,0.0028039283965877577,1.2655664542682055,
0.42,0.81,-0.7070295097739625,0.034427554768934804,-0.6861255397875414,0.0032664157254055815,-0.691056898749344,
0.42,0.86,-2.7919310963023674,0.03767483505726739,-2.8391265509271015,0.0035659144747044024,-2.84464622561304,
0.42,0.93,-4.87078946855609,0.03964769248809195,-4.952680029830228,0.0037525868444261003,-4.957438870258736,
0.42,1.0,-5.569834295088196,0.040261884191463,-5.636713368733934,0.003844840421722426,-5.640868022478351,
0.495,0.0,-10.775402471397939,0.025341571700783303,-10.859376608388011,0.002230287702633743,-10.85643913607227,
0.495,0.09,-8.547485939542495,0.02391748344093005,-8.612017491985352,0.0020657154897951945,-8.610783523244857,
0.495,0.18,-6.3889699538745806,0.021777738587699148,-6.444377721968316,0.0018491298209524912,-6.443379951524409,
0.495,0.3,-3.6754462191683284,0.01695702398518506,-3.7216034037731607,0.0013910938752194316,-3.720216603239078,
