Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.1839125159470383,0.006412241032012055,2.1991722324444627,0.0005259669015348549,2.1973813128252173,0.0006637417111528892
0.0,0.18,4.296564173249329,0.011300905125204081,4.3192902496196695,0.0010002657446185187,4.316814887125723,0.0006637417111528892
0.0,0.3,6.942393400157398,0.016761719379206376,6.9800987788716515,0.0015973215955026267,6.977158557440394,0.0
0.0,0.42,9.303396621869911,0.02278403104326827,9.354414338355062,0.0021585565235212943,9.350367674831164,0.000696472468184148
0.0,0.495,10.554990768146538,0.02598775834679711,10.605346854315654,0.0024789487336961636,10.600553180296487,0.000696472468184148
0.0,0.57,11.490379996404322,0.02898087600702552,11.559255834680522,0.00279226281840774,11.553822172843757,0.0
0.0,0.625,11.869781616907659,0.03129093041789716,11.953280021921325,0.00303499157653588,11.94702568085379,0.0010180793062657242
0.0,0.68,11.812155682991836,0.03373093617532953,11.916444392907266,0.0033044098704328225,11.9093881368066,0.0010180793062657242
0.0,0.72,11.337372123011598,0.035806256087815944,11.464679332648446,0.0035264828078308114,11.45743674054294,0.0
0.0,0.76,10.354189295361873,0.037973981885157396,10.492673224924475,0.0037868526251342628,10.485467191499042,0.0011866127317473724
0.0,0.81,8.458948935453943,0.041022799127515136,8.528153783084917,0.004146691323402288,8.520544475248453,0.0011866127317473724
0.0,0.86,6.353494695292045,0.04332337580673725,6.371096789775981,0.004388456685017979,6.362792619552714,0.0
0.0,0.93,4.2592171432664845,0.044798966481716156,4.257513933108131,0.004542092509958257,4.249212669301426,0.0008585326863915743
0.0,1.0,3.56259739387669,0.04528702086007847,3.5758270842321505,0.004618881161691436,3.5682775031965797,0.0008585326863915743
0.09,0.0,-2.1839125159470383,0.006412241032012055,-2.1991722324444627,0.0005259669015348549,-2.1973813128252173,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009938856883569226
0.09,0.18,2.1126516573022904,0.006600150095660498,2.1201180171752068,0.000543399894649133,2.1194335743005053,0.0009938856883569226
0.09,0.3,4.75848088421036,0.014028783310880743,4.780926546427189,0.001269124517252394,4.779777244615175,0.0
0.09,0.42,7.119484105922872,0.020855780858481318,7.155242105910599,0.001921812319466344,7.1529863620059455,0.0008448811743225375
0.09,0.495,8.3710782521995,0.024314915351033122,8.406174621871191,0.002276064190514537,8.403171867471269,0.0008448811743225375
0.09,0.57,9.306467480457282,0.02749077479393716,9.36008360223606,0.002613876901795586,9.35644086001854,0.0
0.09,0.625,9.685869100960621,0.029916113568678425,9.754107789476862,0.002871720209632806,9.749644368028571,0.0009981884486345864
0.09,0.68,9.628243167044797,0.03245963000252064,9.717272160462803,0.0031551100517843594,9.712006823981383,0.0009981884486345864
0.09,0.72,9.15345960706456,0.03461126261295071,9.265507100203983,0.0033869863001030794,9.260055427717726,0.0
0.09,0.76,8.170276779414836,0.0368493531130554,8.293500992480013,0.003657300667990121,8.288085878673828,0.0008575318300488867
0.09,0.81,6.275036419506904,0.03998401646774421,6.328981550640455,0.004028727376995782,6.323163162423238,0.0008575318300488867
0.09,0.86,4.1695821793450065,0.04234107244659929,4.1719245573315185,0.004277165816608808,4.165411306727498,0.0
0.09,0.93,2.075304627319446,0.043849731156146335,2.058341700663668,0.004434658917673344,2.0518313564762103,0.000996982418316652
0.09,1.0,1.3786848779296519,0.044348233144259154,1.3766548517876878,0.004513275809530688,1.3708961903713641,0.000996982418316652
0.18,0.0,-4.296564173249329,0.011300905125204081,-4.3192902496196695,0.0010002657446185202,-4.316814887125723,0.0
0.18,0.09,-2.1126516573022904,0.006600150095660498,-2.1201180171752068,0.0005433998946491361,-2.1194335743005053,0.0013055013949485538
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0013055013949485538
0.18,0.3,2.645829226908069,0.009718797090470414,2.660808529251982,0.0008318103101198967,2.66034367031467,0.0
0.18,0.42,5.006832448620582,0.01823764927064576,5.035124088735392,0.0016114673083303182,5.03355278770544,0.000956099289421671
0.18,0.495,6.258426594897209,0.022110254730101968,6.286056604695984,0.002019072357092444,6.283738293170762,0.000956099289421671
0.18,0.57,7.193815823154992,0.02556151314912834,7.239965585060853,0.0023937196045691798,7.237007285718032,0.0
0.18,0.625,7.573217443658331,0.028153545189836315,7.633989772301655,0.0026729246762488583,7.6302107937280645,0.0007587255015484821
0.18,0.68,7.5155915097425074,0.030842759857098202,7.597154143287597,0.0029753064583532855,7.5925732496808775,0.0007587255015484821
0.18,0.72,7.04080794976227,0.03309966397661357,7.1453890830287765,0.00322015533127804,7.140621853417219,0.0
0.18,0.76,6.057625122112546,0.035433361124126164,6.173382975304806,0.0035033659269627397,6.168652304373321,0.0004370822824952118
0.18,0.81,4.162384762204614,0.038682939761539976,4.208863533465248,0.003889520408092279,4.203729588122731,0.0004370822824952118
0.18,0.86,2.056930522042717,0.041114652760667454,2.0518065401563117,0.004146308253105902,2.0459777324269917,0.0
0.18,0.93,-0.03734702998284334,0.042666698702482256,-0.06177631651153881,0.004308587288658288,-0.06760221782429632,
0.18,1.0,-0.7339667793726377,0.04317886101693347,-0.743463165387519,0.004389462750870824,-0.7485373839291425,
0.3,0.0,-6.942393400157398,0.016761719379206376,-6.9800987788716515,0.0015973215955026286,-6.977158557440394,
0.3,0.09,-4.75848088421036,0.014028783310880743,-4.780926546427189,0.0012691245172523973,-4.779777244615175,
0.3,0.18,-2.645829226908069,0.009718797090470414,-2.660808529251982,0.0008318103101198982,-2.66034367031467,
0.3,0.3,0.0,0.0,0.0,0.0,0.0,
0.3,0.42,2.361003221712513,0.011297484275068829,2.37431555948341,0.0009628220390048144,2.3732091173907697,
0.3,0.495,3.61259736798914,0.016848877240229928,3.625248075444002,0.0014986970822569443,3.6233946228560923,
0.3,0.57,4.547986596246923,0.02117574684631932,4.579157055808871,0.0019708702551770522,4.576663615403362,
0.3,0.625,4.927388216750263,0.024241357362625077,4.973181243049673,0.002302467115917094,4.969867123413395,
0.3,0.68,4.869762282834438,0.027318439480119833,4.936345614035615,0.0026475884982640925,4.932229579366208,
0.3,0.72,4.394978722854201,0.029843073826117034,4.484580553776794,0.002920038646013795,4.480278183102549,
0.3,0.76,3.411795895204477,0.03241210237826416,3.512574446052824,0.0032296732524864902,3.5083086340586513,
0.3,0.81,1.5165555352965447,0.03593593088569255,1.548055004213266,0.0036449400087197174,1.543385917808061,
0.3,0.86,-0.5888987048653531,0.038541354045448395,-0.6090019890956704,0.00391779155778185,-0.6143659378876785,
0.3,0.93,-2.683176256890914,0.04019289089123526,-2.722584845763521,0.004089149416305783,-2.7279458881389664,
