XVG Filename,Distance (nm),Lambda State,Time (ps),Total Energy (kJ/mol),dH/dλ vdw-lambda = 0.0000,ΔH λ to 0.0000,ΔH λ to 0.1000,ΔH λ to 0.2000,ΔH λ to 0.3000,ΔH λ to 0.4000,ΔH λ to 0.5000,ΔH λ to 0.6000,ΔH λ to 0.7000,ΔH λ to 0.8000,ΔH λ to 0.9000,ΔH λ to 1.0000
dhdl_modified_28_lambda_0.xvg,0.028,0,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_1.xvg,0.028,1,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_2.xvg,0.028,2,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_3.xvg,0.028,3,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_4.xvg,0.028,4,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_5.xvg,0.028,5,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_6.xvg,0.028,6,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_7.xvg,0.028,7,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_8.xvg,0.028,8,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28_lambda_9.xvg,0.028,9,0.0,6.8389219e+35,-4.751582e+27,0.0,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
